S. No.,Item name*,Item code,Purchase,Sale Price,In stock,
252,DORITES 56G,8901491001106,20,30,5,
253,DORITOS SWEET CHILLI FLA,8901491990226,9,10,1,
254,DORITOS SWEET CHILLI FLA,8901491001083,20,30,6,
255,DOVE 2 STEP SHAMPOO COMB,8901030865527,4,5,98,
256,DOVE DAILY SHINE CONDTIN,8901030707728,180,190,4,
257,DOVE DAILY SHINE FOR DUL,8901030707995,260,280,1,
258,DOVE DEEP NOURISH BODY W,8901030764219,110,115,-1,
259,DOVE DRYNESS CARE CONDIT,8901030707735,180,190,0,
260,DOVE GO FRESH BLUE BODYW,8901030709036,100,115,1,
261,DOVE MOISTURISING CREAM,8901030820656,190,200,3,
262,DOVE PINK,8901030824982,80,99,2,
263,DOVE SHAMPOO 60 MRP 75 M,,30,60,0,
264,DOVE SHAMPOO AND CONDITI,,4,5,52,
265,DOVE SHAMPOO POUCH DAILY,,1.4,2,64,
266,DRAIMAX DRAIN CLEANER,,14,20,12,
267,DUKES BUZZ BISCUIT,8901972069762,4,5,1,
268,DUKES CHOCO ECLAIRS 100G,8901972073820,40,80,8,
269,DUKES CREAM 4 FUN 150 GM,8901972062947,19,30,1,
270,DUKES CREAM 4 FUN ELAICH,,9,10,1,
271,DUKES CREME 4 FUN 150G O,8901972060172,19,30,1,
272,DUKES CREME 4 FUN CHOCOL,8901972062930,19,30,0,
273,E FOLDER TRANSPARENT POL,,1,2,100,
274,EGG TRAY,,153,180,1,
275,ELINA RICE 1 KG,,53,125,1,
276,EMAMI FAIR AND HANDSOME,8901248295048,85,170,3,
277,EMAMI KESH KING 80 ML,8901248240260,50,55,2,
278,EMAMI KESH KING OIL,8901248297110,160,160,0,
279,EMAMI VASOCARE,8901248275033,75,75,2,
280,ENGAGE MAN COLOGNE SPRAY,8901725952204,137.5,275,2,
281,ENO 100G,8901571001064,100,120,0,
282,ENVY BLISS WOMEN,8901450010170,170,185,0,
283,ENVY DARK,8901450002410,180,199,1,
284,ENVY KISS WOMEN,8901450002601,180,199,0,
285,ENVY RUSH,8901450002434,180,199,2,
286,EVA FRESH PERFUMED TALC,8902618000156,195,195,1,
287,EVA PERFUME 125 ML,8902618001061,100,140,2,
288,EVA SWEET,8902618000088,130,140,0,
289,EVEREADY ULTIMA SILVER A,,18,35,8,
290,EVEREST HINGRAJ POWDER,,140,175,9,
291,EVERYUTH GOLDEN GLOW PEE,8901548147207,120,125,1,
292,EXAM BOARD EXAM PAD,853817007256,50,80,13,
293,EXAM BOARD EXAM PAD TRAN,,50,80,0,
294,EXO TOUCH AND SHINE,8902102161684,125,138,5,
295,Face mask,,0,5,-16,
296,FAIR & LOVELY 15 GM,,10,20,0,
297,FAIR & LOVELY 50G,8901030821394,60,65,2,
298,FAIR & LOVELY MENS GLOW,8901030829055,65,78,1,
299,FAIR & LOVELY WINTER GLO,8901030822445,40,60,1,
300,FAIR AND HANDSOME,8901248253505,80,80,-1,
301,FANTA 2 L COLD DRINK,,0,90,27,
302,FANTA 750ML,8901764022272,32,40,69,
303,FEAST CHOCOLATE HARDCORN,8901030434273,25,30,-19,
304,FEATHER'S KITCHEN TOWEL,,90,175,5,
305,FENA POWDER 500 GM,,28,32,1,
306,FEVICRYL FABRIC GLUE 80,8901860520207,32,35,10,
307,FILE FOLDER CLOTH NET,36000368840,50,70,4,
308,FILE FOLDER COBRA HANDS,,9,20,12,
309,FILE FOLDER GREEN PLASTI,,0,0,12,
310,FILE FOLDER LEATHER,36000367089,150,160,7,
311,FILE FOLDER WITH TICH BU,,8,15,18,
312,FILE FOLDER WITH TICH BU,,15,20,16,
313,FINE TOUCH MARLBORO PAC,,95,120,5,
314,FIPE FOLDER AKSHAT GOLD,,0,0,20,
315,FL BLACK SALT 200 GM,,19,35,2,
316,FOGG DELICIOUS,8908001158336,170,185,-1,
317,FOGG FRESH AQUA 120 ML,8908001158541,120,230,3,
318,FOGG IMPERIAL,8908001158480,170,185,0,
319,FOGG MAJESTIC,8908001158497,170,185,0,
320,FOGG MASTER 120 ML,8904238301392,200,225,0,
321,FOGG ROYAL FRAGRANCE SPR,8908001158312,180,199,0,
322,FOOCHKA,8908009082152,50,60,4,
323,FORTUNE CHAKKI FRESH ATT,,306,375,0,
324,FORTUNE CHAKKI FRESH ATT,,167,195,0,
325,FORTUNE KACHCHI GHANI MU,8906007280969,173,227,0,
326,FRESCA APPLE JUICE 1LTR,,40,120,72,
327,FRESCA APPLE JUICE 200ML,8906070590309,7.5,15,35,
328,FRESCA MANGO DRINK 1 L,8906070590095,40,90,-3,
329,FRESCA MANGO DRINK 200 M,8906070590286,10,20,152,
330,FRESCA TROPICAL MIX DRIN,,40,90,6,
331,FRESH ONE FACIAL TISSUES,8901435011963,45,90,4,
332,FRESHOMZ CITURS GROOVE 1,8904132912434,35,70,4,
333,FRESHOMZ MAGICAL HAZE AI,8904132912441,35,70,4,
334,FRESHOMZ TWILIGHT GARDEN,8904132912458,35,70,4,
335,FRU BON CHOCO CHIP COOKI,8904273630013,45,90,3,
336,FUNFOOD MAYONNAISE ORIGI,8906002006496,20,39,0,
337,FUNFOODS VEG MAYONNAISE,8906002004430,30,39,2,
338,G M POHA KHATTA MEETHA,8906122500812,38,76,0,
339,GAIA CRUNCHY MUESLI NUTT,8908000097933,550,575,0,
340,GALA WIPER WITH STICK,,99,100,1,
341,GARNIER COLOUR NATURAL 3,8901526206377,70,80,0,
342,GARNIER FACE WASH,8901526204274,100,149,1,
343,GET REAL ALOE + GLYCERIN,8904132918320,74,149,3,
344,GET REAL GLYCERIN SHOWER,8904132918313,74,149,4,
345,GHADI DETERGENT POWDER 1,8901331004168,53,61,1,
346,GHADI DETERGENT POWDER 5,8901331004267,28,31,0,
347,GHADI DETERGENT SHOP,8901331000207,4.5,5,0,
348,GILLETTE VECTOR +,4902430927192,100,120,0,
349,GILLETTE FOAM REGULAR,,80,85,0,
350,GILLETTE FOAM REGULAR 50,4902430722193,50,85,1,
351,GILLETTE FUSION,4902430922388,530,550,1,
352,GILLETTE FUSION PURE & S,4902430681032,350,375,1,
353,GILLETTE GUARD RAZOR,4987176041081,20,24,1,
354,GILLETTE GUARD SHAVE FOA,4987176079299,100,120,1,
355,GILLETTE GUARD SHAVING C,4902430297318,40,49,2,
356,GILLETTE MACH 3,4987176028563,75,85,0,
357,GILLETTE MACH 3 BLADES,4987176094070,230,249,0,
358,GILLETTE MACH3 SMOOTH SH,4902430658416,250,280,1,
359,GILLETTE PRESTO,4902430839754,10,20,1,
360,GILLETTE REGULAR SHAVING,4987176029980,70,75,1,
361,GILLETTE SERIES SHAVE FO,4902430673198,250,285,7,
362,GILLETTE VECTOR +,4902430927215,150,165,-1,
363,GILLETTE VENUS,4987176029775,200,249,0,
364,GLITTER BOTTLE WHITE CAP,,40,100,4,
365,GLITTER TUBE BOTTLE STAR,,3,5,23,
366,GLUE GUN STICK BIG,,3.5,10,100,
367,GLUE GUN STICK SMALL,,3,10,100,
368,GM BEDAMI PURI ATTA,8908004643013,84,56,0,
369,GODRAJ EXPERT CREME HAIR,8901023014581,99,99,1,
370,GODREJ AER POWER POCKET,,45,55,0,
371,GODREJ ARE POWER POCKET,8901023025181,45,60,1,
372,GODREJ EXPERT NEW,8901023019876,33,33,10,
373,GODREJ PROCLEAN 1 LTR.,8901023023613,100,172,4,
374,GODREJ PROCLEAN 500ML,8901023023606,45,91,16,
375,GOLD FLACK,8901725176518,90,95,0,
376,GOLDEN PARAGUAY AJINOMOT,,85,100,10,
377,GOOD HOME AIR FRESHENER,,0,65,-1,
378,GOOD HOME BROOM STICK,8902901011616,120,130,6,
379,GOOD HOME ROOMFRESHENER,8902618008985,130,149,0,
380,GOOD KNIGHT FABRIC ROLL,8901023016790,60,75,0,
381,GOOD KNIGHT GOLD FLASH,8901023019715,80,89,0,
382,GOOD KNIGHT NATURAL NEEM,8901023018299,10,15,1,
383,GOOD LIFE FINE MUSTARD 1,8902901222838,16,32,4,
384,GOOD LIFE JEERA 1 KG PP,8902901222760,269,299,1,
385,GOOD LIFE JEERA 100G,8902901222470,0,68,0,
386,GOOD LIFE SOYA CHUNKS,8902901232363,60,75,1,
387,GOOREJ FRESH GLOW SOAP,8901023011368,80,99,0,
388,GOOREJ SHIKAKAI 75 G,8901023005398,17,20,-1,
389,GRAPH COPY,4498961498503,15,20,24,
390,HADIRAM KHATTA MEETHA 22,,40,44,1,
391,HAIR AND CARE TRIPLE BLE,8901088193870,48,60,5,
392,HAIR CARE TRIPLE BLEND 5,89009482,26,32,5,
393,HAJMOLA 120 MG BOTTLE,8901207900839,39,49,2,
394,HALDIRAM ALOO BHUJIA,8904063240057,8,10,-1,
395,HALDIRAM ALOO BHUJIA 220,,42,46,1,
396,HALDIRAM BHUJIA 200 GM,8904063200051,44,50,0,
397,HALDIRAM BOONDI 42G,8904063240088,8,10,0,
398,HALDIRAM CHATAPATA MIXTU,8904063214478,25,30,0,
399,HALDIRAM CHATPATA MIXTUR,,27,30,2,
400,HALDIRAM DAL,,0,10,0,
401,HALDIRAM DIET MIXTURE,,27,30,6,
402,HALDIRAM FATAFAT BHEL,,8,10,-7,
403,HALDIRAM GUP SHUP PEANUT,8904063258779,9,10,-3,
404,HALDIRAM KAJU MIXTURE,,72,80,0,
405,HALDIRAM KAJU MIXTURE 25,8904063240095,9,10,4,
406,HALDIRAM KHATTA MEETHA,8904063240033,9.5,10,9,
407,HALDIRAM KHATTA MEETHA 2,8904063214355,40,44,0,
408,HALDIRAM KHUS SYRUP GREE,8904063270023,0,0,2,
409,HALDIRAM LITE CHIWDA 150,8904063252517,27,30,-3,
410,HALDIRAM LITE MIXTURE 15,8904063255280,25,30,1,
411,HALDIRAM LITE MIXTURE 50,8904063257581,8,10,0,
412,HALDIRAM MEXILLA 80 GM,,22,25,0,
413,HALDIRAM MOONG DAAL,,8,10,-2,
414,HALDIRAM NAMKEEN ANY PIC,,8,10,-26,
415,HALDIRAM NAVRATTAN 200 G,8904063214348,39,44,0,
416,HALDIRAM NAVRATTAN NAMKE,8904063240026,8,10,-3,
417,HALDIRAM NUT CRACKER,,0,10,-2,
418,HALDIRAM NUT CRACKER 220,8904063214379,43,48,-2,
419,HALDIRAM PANCHRATATAN 20,8904063200044,79,90,0,
420,HALDIRAM PANCHRATATAN 22,8904063259134,9,10,0,
421,HALDIRAM PEANUT GUPSHUP,,8,10,8,
422,HALDIRAM PUDINA CHIPS,,22,25,0,
423,HALDIRAM PUNJABI TADKA,8904063253804,8,10,-1,
424,HALDIRAM ROASTED CHANA H,8904063253415,8,10,-4,
425,HALDIRAM ROASTED CRUSHED,8904063210685,0,10,-9,
426,HALDIRAM SALTED PEANUTS,,43,48,3,
427,HALDIRAMS PEANUTS,8904063253842,45,48,-1,
428,HAMDARD NATURAL BLOSSOM,8901453000765,70,199,3,
429,HAMDARD SAFI 200ML,8901453040822,90,100,0,
430,HAND IN HAND GERM KILL S,8901450013676,140,149,3,
431,HANSAPLAST BANDAID WATER,,2,2,2,
432,HAPPY BIRTHDAY BALLOON 1,,60,100,60,
433,HAPPY BIRTHDAY GOLDEN 13,,0,0,10,
434,HAPPY BIRTHDAY THEME SET,,220,400,6,
435,HAPPY BIRTHDAY THEME SET,,0,0,6,
436,HAPPY NEW YEAR 14 PC FOI,,0,0,4,
437,HAPPY NEW YEAR THEME SET,,250,450,7,
438,HARI DARSHAN DELUX DHOOP,8901684602875,8,15,27,
439,HARPIC 200ML,8901396152002,33,38,0,
440,HARPIC 500ML,8904132919563,75,89,1,
441,HARPIC WHITE & SHINE BLE,8901396153009,45,89,1,
442,HARVEST GOLD BROWN BREAD,8906020460652,36,40,-11,
443,HARVEST GOLD FRUIT BREAD,8906020460331,13.5,15,9,
444,HARVEST GOLD MULTIGRAIN,8906020460300,58,60,1,
445,HARVEST GOLD PAO PACK,,16.5,35,-1,
446,HARVEST GOLD SWEET BUNS,8906020460164,16.5,18,-7,
447,HARVEST GOLD WHITE BREAD,8906020460911,1,10,-6,
448,HARVEST GOLD WHITE BREAD,8906020460027,23,25,-15,
449,HARVEST GOLD WHITE BREAD,8906020460010,41,50,-3,
450,HARVEYS FLAVOR LIQUID,,30,59,61,
451,HAYWARDS WATER BOTTLE 25,,4,8,1,
452,HEAD &,,0,0,0,
453,HEAD & SHOULDER 72ML,,65,68,0,
454,HEAD & SHOULDER SMOOTH &,4902430908078,180,195,3,
455,HEAD AN SHOULDERS COOL A,4902430773829,270,285,3,
456,HEAD AND SHOLDER 2 IN 1,4902430871457,350,365,1,
457,HEAD AND SHOULDER BASIC,,1.4,2,187,
458,HEAD AND SHOULDER SHAMPO,4902430729291,1.5,2,95,
459,HEAD AND SHOULDERS COOL,4987176073099,280,285,3,
460,HEAD AND SHOULDERS FOR G,4902430773843,270,285,1,
461,HEM MADHUR AGARBATTI,,35,70,4,
462,HERSHEYS CHOCOLATE SYRUP,,85,90,0,
463,HERSHEYS COCOA 225 GM,8901071211161,251,270,1,
464,HERSHEYS CREAMY MILK 40,6942836717957,30,55,0,
465,HERSHEYS EXOTIC DARK BLU,8901071702195,130,150,0,
466,HERSHEYS EXOTIC DARK CAL,8901071702935,52,60,0,
467,HERSHEYS EXOTIC DARK CAL,8901071702898,52,60,1,
468,HERSHEYS KISSES COOKIES,8901071701952,43,50,1,
469,HERSHEYS KISSES COOKIES,8901071701976,121,140,10,
470,HERSHEY'S KISSES COOKIES,8901071701983,140,140,6,
471,HERSHEY'S KISSES MILK CH,8901071701969,140,140,2,
472,HERSHEYS KISSES MILK CHO,8901071701938,50,50,8,
473,HERSHEYS STRAWBERRY SYRU,8901071731126,90,90,1,
474,HERSHY'S KISSES ALMONDS,8901071701945,50,50,10,
475,HH_P_ROPE,8904254107268,90,99,2,
476,HIGHLIGHTS BRILLINTLY,8901180548059,80,100,1,
477,HIGHLIGHTS BRILLINTLY LO,,16,20,3,
478,HIMALAYA BABY CARE GIFT,,395,525,1,
479,HIMALAYA COMPLETE CARE T,8901138836092,50,50,1,
480,HIMANI PAIN RELIEF OINTM,8901248114233,50,60,0,
481,HINGOLI,8906037913011,4,5,10,
482,HOMEONE MARVL PLASTC BSK,8904132923522,99,0,2,
483,HOOTS PAAN CANDY,,50,75,2,
484,HORLICKS CLASSIC MALT 50,8901030807176,215,245,0,
485,HOT MELT GLUE GUN SMALL,853817007232,50,150,1,
486,ICE CUBE,,30,60,54,
487,ID CREAMY THICK CURD,8906020589278,29,35,0,
488,INDIYUM BLACK PEPPER PEA,8906126500016,40,80,6,
489,INDIYUM CLASSIC SALTED P,8906126500023,49.5,80,10,
490,INDIYUM MASALA CHICKPEAS,8906126500238,40,80,2,
491,INDIYUM RED PEANUTS TEAL,8906126500078,40,70,9,
492,ITC CLASSMATE GEOMETRY I,8903183100012,99,110,2,
493,ITC CLASSMATE WAX CRAYON,8903183500010,9,10,6,
494,ITC MASTER CHEF VEGGIE P,8906065169695,113,170,2,
495,ITC MASTER CHICKEN SEEKH,,0,325,0,
496,IVORY SCISSOR,6933659872770,40,45,9,
497,JAIRAJ'S FOOD MAIDA 1 KG,8902901001730,40,80,12,
498,JAY DURGA KAPOOR LADI 20,,20,50,5,
499,JOHNSON BABY CARE GIFT S,8901138513207,482,625,1,
500,JOHNSON BABY CREAM 30 GM,8901012116807,45,55,1,
501,JOHNSON BABY POWDER 100,8901012116562,66,83,0,
502,JOHNSON COTTON TOUCH NEW,8901012118313,83,105,1,
